incident_id,category,priority,status,created_date,resolved_date,resolution_time_hours,standard_process,actual_process,process_deviation,assignee,description
INC00001,Network,Low,Resolved,2025-09-17 23:50:32,2025-09-19 18:31:40,42.69,Initial Assignment -> Network Analysis -> Root Cause Identification -> Solution Implementation -> Testing -> Resolution,Initial Assignment -> Network Analysis -> Root Cause Identification -> Solution Implementation -> Testing -> Resolution,No,Technician_4,Sample network incident requiring resolution
INC00002,User Support,Low,Resolved,2025-09-22 23:50:32,2025-09-24 14:48:51,38.97,Initial Assignment -> User Interview -> Problem Diagnosis -> Solution Implementation -> User Training -> Resolution,Initial Assignment -> User Interview -> Problem Diagnosis -> Solution Implementation -> User Training -> Resolution,No,Technician_7,Sample user support incident requiring resolution
INC00003,Application,Low,Resolved,2025-09-23 23:50:32,2025-09-26 22:22:46,70.54,Initial Assignment -> Application Analysis -> Code Review -> Bug Fix -> Testing -> Deployment -> Resolution,Initial Assignment -> Application Analysis -> Compliance Check -> Code Review -> Bug Fix -> Testing -> Deployment -> Resolution,Yes,Technician_9,Sample application incident requiring resolution
INC00004,Network,Medium,Resolved,2025-09-18 23:50:32,2025-09-19 21:42:35,21.87,Initial Assignment -> Network Analysis -> Root Cause Identification -> Solution Implementation -> Testing -> Resolution,Initial Assignment -> Network Analysis -> Root Cause Identification -> Solution Implementation -> Testing -> Resolution,No,Technician_7,Sample network incident requiring resolution
INC00005,Hardware,Low,Resolved,2025-10-08 23:50:32,2025-10-10 21:08:04,45.29,Initial Assignment -> Hardware Diagnosis -> Part Ordering -> Hardware Replacement -> Testing -> Resolution,Initial Assignment -> Hardware Diagnosis -> Part Ordering -> Hardware Replacement -> Testing -> Resolution,No,Technician_12,Sample hardware incident requiring resolution
INC00006,User Support,High,Resolved,2025-09-15 23:50:32,2025-09-16 09:21:22,9.51,Initial Assignment -> User Interview -> Problem Diagnosis -> Solution Implementation -> User Training -> Resolution,Initial Assignment -> Problem Diagnosis -> User Interview -> Solution Implementation -> User Training -> Resolution,Yes,Technician_13,Sample user support incident requiring resolution
INC00007,Network,High,Resolved,2025-09-14 23:50:32,2025-09-15 09:04:32,9.23,Initial Assignment -> Network Analysis -> Root Cause Identification -> Solution Implementation -> Testing -> Resolution,Initial Assignment -> Network Analysis -> Root Cause Identification -> Solution Implementation -> Testing -> Resolution,No,Technician_12,Sample network incident requiring resolution
INC00008,User Support,Medium,Resolved,2025-09-18 23:50:32,2025-09-20 18:49:45,42.99,Initial Assignment -> User Interview -> Problem Diagnosis -> Solution Implementation -> User Training -> Resolution,Initial Assignment -> User Interview -> Problem Diagnosis -> Extended Testing -> Solution Implementation -> User Training -> Resolution,Yes,Technician_8,Sample user support incident requiring resolution
INC00009,Network,Critical,Resolved,2025-10-02 23:50:32,2025-10-03 02:06:34,2.27,Initial Assignment -> Network Analysis -> Root Cause Identification -> Solution Implementation -> Testing -> Resolution,Initial Assignment -> Network Analysis -> Root Cause Identification -> Solution Implementation -> Testing -> Resolution,No,Technician_6,Sample network incident requiring resolution
INC00010,Hardware,High,Resolved,2025-10-04 23:50:32,2025-10-05 08:29:17,8.65,Initial Assignment -> Hardware Diagnosis -> Part Ordering -> Hardware Replacement -> Testing -> Resolution,Initial Assignment -> Hardware Diagnosis -> Part Ordering -> Hardware Replacement -> Testing -> Resolution,No,Technician_3,Sample hardware incident requiring resolution
